SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000126890.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268651.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269335.5	61.2743	24.6382	36.4596	34.2702	55.2755	36.3053	46.1894	46.388	37.2487	40.6908	51.0483	37.279	33.2984	43.5684	33.9625	25.1633
ENSG00000160211.19	116.377	42.7091	97.9469	73.7258	152.239	119.629	84.6216	123.306	107.537	156.529	132.994	135.608	103.02	152.615	125.293	86.7086
ENSG00000071889.16	35.4709	33.2626	19.3603	25.9859	26.4871	23.6202	24.4124	28.9984	19.1249	18.7216	12.7089	13.4014	8.1757	14.1381	12.2263	28.1496
ENSG00000102178.13	34.1171	14.3453	23.9781	24.5121	26.3835	18.8883	31.0183	24.9874	12.432	31.1255	13.5965	15.3888	13.4002	13.0126	23.2161	11.883
ENSG00000130827.6	8.05143	4.47596	3.88568	4.30266	2.91608	4.87754	5.34865	4.58781	1.56465	2.08484	1.16637	2.65214	3.31067	3.19358	2.25013	0.704547
ENSG00000102125.16	56.7584	34.1801	54.0282	55.2412	43.6567	44.2266	69.5863	48.5572	35.7057	44.2046	35.1407	16.1807	24.2326	41.3335	38.0958	18.9193
ENSG00000013563.14	25.9081	14.2236	20.4043	25.0271	33.576	22.9583	29.9997	30.7166	19.5367	26.7851	15.3988	22.4306	13.2611	15.01	28.472	7.42758
ENSG00000102119.11	73.2807	32.9044	37.7637	32.7439	44.4407	53.4756	46.9121	42.6213	21.3389	28.5664	35.8266	39.2361	29.2427	23.2366	26.5227	26.0728
ENSG00000196924.18	421.099	162.729	223.044	182.996	301.825	259.426	213.458	181.333	125.35	218.88	145.401	186.791	250.394	267.451	240.524	87.0633
ENSG00000278057.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269433.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166160.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268221.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102076.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177854.8	6.21291	3.67117	2.96075	12.068	6.23241	1.93519	4.93387	5.471	3.02904	4.46989	2.50478	4.14258	2.93108	6.11611	2.86673	3.37937
ENSG00000172534.14	28.0289	11.0901	13.4961	13.1855	12.9641	16.3237	15.9627	14.4222	7.65055	11.4133	6.01626	11.9664	11.0006	15.8664	10.5883	6.73431
ENSG00000102030.16	59.8703	32.7439	40.0845	36.5959	46.193	28.2193	45.946	37.5699	21.7312	31.4385	21.5933	28.5149	28.8624	23.1823	30.537	31.3134
ENSG00000284987.1	0	0	0	0	0	0	0	0	0	2.10662	0	0	0	0	0	0
ENSG00000067840.12	10.7705	12.892	14.4845	17.558	5.85017	8.74182	18.6312	7.2049	2.80858	5.38957	6.13162	3.69592	7.94088	10.1641	2.22068	2.78432
ENSG00000067829.19	81.572	33.107	67.5348	44.5425	57.447	54.8652	51.198	54.7878	36.2713	41.5611	40.0362	46.6014	37.3923	40.2637	50.6342	36.415
ENSG00000101986.12	18.8734	5.70391	12.1251	11.6547	14.9455	8.54605	13.4885	12.0454	11.3567	13.3933	9.67226	7.43459	8.19701	14.5405	13.1354	7.99719
ENSG00000130822.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000262919.8	19.0282	12.3916	17.5404	18.0219	20.9672	19.3592	30.1603	16.0225	10.5092	9.03795	15.7376	9.33985	7.7065	11.9556	11.605	8.72324
