SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000188157.15	14	8	16	13	1	7	14	13	2	6	3	3	3	19	2	7
ENSG00000242590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801.10	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSG00000273443.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237330.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591.17	43	11	32	19	22	18	37	14	14	19	3	8	13	20	10	8
ENSG00000285812.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223823.1	4	0	1	3	0	7	1	3	2	0	0	0	0	1	0	0
ENSG00000207730.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571.14	0	0	0	1	3	0	5	0	2	0	0	0	0	0	0	0
ENSG00000186891.14	21	10	6	8	12	7	27	8	7	2	9	6	0	19	1	3
ENSG00000186827.11	34	17	19	22	11	7	27	6	12	13	8	2	4	12	5	5
ENSG00000078808.18	391	163	250	213	382	199	410	305	141	242	151	152	139	201	191	155
ENSG00000176022.7	43	26	28	26	39	21	55	31	7	22	17	19	32	31	20	18
ENSG00000184163.3	2	1	1	0	0	1	0	2	0	1	0	1	0	1	3	0
ENSG00000260179.1	0	0	0	0	2	1	2	0	2	2	0	0	1	0	0	0
ENSG00000160087.21	175	59	131	95	146	92	160	125	74	134	76	58	56	103	86	75
ENSG00000230415.1	0	1	1	3	0	2	1	0	0	0	0	0	0	0	0	0
ENSG00000162572.21	16	9	11	6	4	5	4	8	5	1	5	0	1	3	1	0
ENSG00000131584.19	178	76	143	121	136	85	183	106	58	78	67	41	64	99	99	43
ENSG00000278073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972.12	20	6	9	10	26	11	20	24	13	17	6	8	7	17	11	5
ENSG00000127054.21	265	67	121	146	165	129	230	157	76	124	73	66	98	111	91	54
ENSG00000283712.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731.1	8	1	1	4	3	3	4	8	3	2	0	0	2	1	3	0
ENSG00000224051.7	116	33	55	48	76	51	65	68	26	43	18	21	16	59	32	36
ENSG00000169962.5	7	1	3	2	5	1	11	2	1	2	2	2	1	0	1	2
ENSG00000107404.20	105	40	61	78	59	38	98	57	20	26	14	20	32	37	33	15
ENSG00000284372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576.16	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000175756.13	114	50	93	73	117	63	103	99	64	103	64	61	66	75	77	70
ENSG00000223663.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221978.12	533	190	318	262	344	227	565	302	141	195	149	137	180	236	219	97
ENSG00000224870.7	49	20	29	34	47	36	59	34	24	29	13	24	17	10	32	20
ENSG00000242485.6	85	42	56	66	79	50	105	63	24	42	24	15	26	34	50	27
ENSG00000264293.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455.1	7	2	11	8	14	13	15	13	2	6	1	10	5	3	5	2
ENSG00000235098.8	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ENSG00000225905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205116.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225285.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179403.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215915.10	5	0	1	3	3	3	3	0	0	1	3	1	0	1	1	1
ENSG00000160072.20	116	29	51	42	38	47	73	36	22	33	18	27	28	34	16	27
ENSG00000284740.1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197785.14	34	22	18	14	19	26	40	26	21	10	9	17	15	16	19	5
ENSG00000205090.9	1	0	0	1	1	0	1	1	1	2	1	1	0	2	0	0
ENSG00000160075.12	354	105	222	177	329	189	330	259	117	216	132	127	141	174	166	144
ENSG00000215014.5	2	0	3	0	3	2	2	2	1	2	2	0	0	1	0	0
ENSG00000274481.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594.4	4	7	7	10	4	6	12	11	2	14	1	2	5	4	9	5
ENSG00000286989.1	11	1	2	5	10	3	3	5	2	1	4	2	1	1	4	2
ENSG00000272106.1	17	4	9	9	11	7	19	10	0	2	0	4	6	7	1	3
ENSG00000197530.12	84	28	58	55	54	46	118	69	41	56	48	47	43	55	47	37
ENSG00000189409.14	8	0	2	1	3	0	0	0	0	1	0	1	2	2	0	0
ENSG00000248333.8	162	53	87	83	147	77	153	72	41	65	75	105	106	93	81	31
ENSG00000272004.1	2	0	1	0	1	1	1	0	0	0	0	1	3	0	0	0
ENSG00000189339.12	469	214	320	278	284	231	713	283	198	159	177	128	114	201	186	107
ENSG00000269737.2	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0
ENSG00000215914.4	0	0	0	0	0	0	2	0	1	1	0	0	0	0	4	0
ENSG00000008128.23	11	3	3	2	12	4	6	4	5	1	2	2	6	5	2	2
ENSG00000268575.1	24	20	20	11	21	5	46	19	12	24	3	11	12	9	7	7
ENSG00000227775.3	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0
ENSG00000215790.7	197	61	90	77	118	85	218	129	61	241	40	116	88	73	52	34
ENSG00000008130.15	856	230	806	550	1537	626	1055	831	825	948	809	872	774	978	762	622
ENSG00000078369.18	964	344	612	537	1099	589	959	793	458	669	598	528	527	699	580	372
ENSG00000231050.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169885.10	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000178821.13	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000142609.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233542.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000187730.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606.17	69	16	32	29	45	33	58	39	37	43	14	36	54	32	19	16
ENSG00000271806.1	0	0	1	0	4	1	2	0	0	1	0	0	0	3	1	0
ENSG00000182873.5	5	1	2	2	3	1	8	6	3	8	1	0	1	0	3	3
ENSG00000162585.17	105	27	50	68	75	36	98	66	46	53	30	23	33	51	32	37
ENSG00000234396.3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933.10	283	109	180	144	201	171	242	124	103	150	146	113	167	221	111	90
ENSG00000287356.1	1	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0
ENSG00000116151.14	7	2	6	10	7	1	15	6	4	3	2	6	1	10	6	6
ENSG00000272161.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269896.2	6	1	6	2	1	6	9	7	3	3	0	1	3	6	7	0
ENSG00000272420.1	4	0	0	1	2	0	2	0	1	0	0	1	0	1	0	0
ENSG00000157916.20	413	171	295	239	395	206	515	333	178	283	201	156	134	216	220	161
ENSG00000157911.11	22	5	15	16	16	16	17	23	8	14	8	8	9	15	8	13
ENSG00000149527.18	176	29	29	39	38	17	38	13	15	14	16	6	22	22	2	8
ENSG00000224387.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229393.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157881.16	96	31	71	56	80	51	102	48	30	45	40	46	37	44	48	45
ENSG00000197921.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272449.2	13	8	15	11	17	6	20	8	3	12	11	5	3	5	5	6
ENSG00000238164.6	66	14	17	16	27	14	39	13	19	17	12	16	22	11	10	13
ENSG00000157873.17	555	179	392	327	491	248	602	385	189	364	228	229	232	362	309	265
ENSG00000225931.3	6	0	1	0	0	1	2	5	0	3	2	1	5	4	0	2
ENSG00000228037.1	8	2	2	2	5	6	3	6	1	2	4	1	2	0	0	2
ENSG00000157870.17	67	35	42	46	47	40	56	48	16	20	19	26	21	18	19	14
ENSG00000142606.16	0	0	0	3	2	4	1	0	0	3	1	1	1	1	0	2
ENSG00000237058.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000215912.12	11	3	0	3	3	1	10	4	2	5	0	2	4	1	1	1
ENSG00000285945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133.11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000142611.17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000283572.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279839.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287828.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762.15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272088.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162591.16	153	46	92	79	150	75	168	74	74	41	103	49	61	88	64	45
ENSG00000207776.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260.1	5	1	3	8	6	4	8	7	2	5	3	2	8	4	1	1
ENSG00000158109.15	198	66	141	115	239	144	157	153	107	161	163	109	118	127	111	100
ENSG00000116213.16	88	32	70	46	78	45	100	67	29	54	32	33	34	59	38	27
ENSG00000078900.15	2	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0
ENSG00000227589.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372.12	88	48	38	44	49	21	73	58	24	33	17	20	10	41	34	21
ENSG00000276189.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235169.9	1	48	19	1	0	9	4	2	14	35	9	16	45	71	3	35
ENSG00000130764.10	133	41	73	69	93	70	116	77	48	47	47	29	52	58	61	34
ENSG00000266075.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272153.1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000116198.13	100	43	52	41	77	65	124	68	43	38	41	35	37	44	30	17
ENSG00000169598.16	49	24	35	31	26	14	60	32	15	16	9	10	6	18	16	8
ENSG00000198912.11	61	20	28	43	70	32	62	53	16	31	27	9	20	41	37	23
