mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000091077.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099861.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100939.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079806.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101243.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096036.2	0	0	0	0	0	0	0	0.790573	0	0	0.989599	0	0	0	0	0	0	0	0	0.498295	0	0
ENSMUSG00000100634.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095693.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093987.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094511.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093918.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101667.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069036.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094881.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069044.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069045.11	0	0.243014	0.455707	0.263168	0.220176	0	0.784218	0	0	0.22962	0.458069	0.44615	44.2494	76.0198	57.5327	95.5213	40.0016	81.5184	46.8251	68.0485	0.732211	0.774316
ENSMUSG00000068457.14	0	0	0	0	0	0	0	0	0	0	0	0	7.19322	6.99425	5.67187	8.89102	6.51394	6.41308	5.68299	7.02185	0.179665	0
ENSMUSG00000069049.11	0	1.24481	0	0	0	0.452787	0.446471	0	0	0.392275	1.56435	0	71.4538	79.9057	65.3706	76.2862	106.824	94.9574	103.621	90.5037	0	0.440976
ENSMUSG00000093806.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.679749	0	0	0	0
ENSMUSG00000025742.5	15.8975	17.1663	17.3882	14.7438	13.5831	14.6162	13.795	19.8962	14.1669	13.9809	13.3892	15.659	9.50818	14.5452	11.8525	13.1641	11.1648	18.1811	13.1987	20.7314	13.7679	18.0198
ENSMUSG00000040522.5	115.005	124.672	114.416	147.391	127.35	134.964	125.664	93.1468	109.758	101.912	156.52	104.035	121.028	107.325	114.582	115.759	144.061	127.38	135.447	110.593	155.047	114.137
ENSMUSG00000049775.16	4394.55	4418.41	4551.7	4691.94	4771.22	4716.22	4186.32	4847.19	4275.01	4889.49	4333.58	5297.05	4039.84	5104.96	4200.53	4598.71	3864.28	4227.11	3929.46	4007.61	3746.83	4432.9
ENSMUSG00000040586.8	7.7586	6.34782	6.71334	5.81672	4.71688	6.5586	5.25177	7.34863	5.463	7.53399	8.28346	6.45922	4.9016	6.52888	6.25106	7.39591	3.49364	6.4275	4.0622	6.31485	4.35389	6.9129
ENSMUSG00000018589.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236317	0	0	0	0
ENSMUSG00000079600.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031380.10	0	0	0	0	0	0	0	0	0.343807	0	0	0	0	0.344322	0	0	0	0	0	0	0	0
ENSMUSG00000031379.13	1.64124	0.965319	0.905701	1.01043	2.54594	0	1.00488	2.81034	1.35163	1.7671	0	0	1.60913	4.4728	0.475233	0	0.941233	0	1.86644	0.915962	0	0.513071
ENSMUSG00000015401.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031373.4	0	0.704682	1.38343	0.79064	0.268126	0	0.636857	0.691782	1.3007	1.11877	0	0	2.96096	0.865634	3.10984	0.868042	1.91236	1.53298	3.55218	1.3691	1.24215	0.458681
ENSMUSG00000083695.6	0	0	0	0	0	0	0.722587	0	0	0.635102	0	1.89988	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031364.2	0	0	0	0	0	0	0	0	0	0	0.55601	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040808.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031357.3	47.5224	53.8272	44.3868	57.1171	48.4731	49.2553	44.6976	60.9019	47.526	65.2206	42.2204	62.4282	51.3154	67.849	42.3304	52.4248	42.9837	51.9442	48.7098	47.9402	37.7978	52.9716
ENSMUSG00000038344.14	19.031	19.1126	20.7657	26.5516	17.9757	22.5149	18.0549	22.2391	19.3954	21.385	25.414	29.9427	24.3273	23.9377	16.5075	18.4859	19.1619	17.9476	16.801	19.3299	14.8002	25.4053
ENSMUSG00000040855.15	0.425324	0	0.523544	0.202862	0.08479	0	0.20145	0	0.261903	0	0.35308	0	0.080573	0	0.092237	0.181061	0	0	0	0.442892	0.217895	0.099425
ENSMUSG00000043518.7	0.393864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329597	0	0	0	0	0	0
ENSMUSG00000031292.14	1.67833	0.997756	1.23322	0.571856	1.55336	1.28773	0.859231	1.17509	2.95993	0.274389	0.490558	0.737489	0.687312	0.203125	0.500731	0.140407	0.354406	0.955731	0.434989	0.412094	0.760455	0.523357
ENSMUSG00000031293.13	0.419239	0	0.115392	0	0.111467	0	0.397203	0	0.114762	1.13703	2.21081	0	0.105915	0	0	0.248993	0	0.124655	0.12289	1.14549	0	0.1307
ENSMUSG00000031295.13	56.9913	67.2349	55.9375	55.2026	63.3749	54.1923	77.6293	57.7823	49.365	43.818	55.0827	50.6181	51.0472	44.5485	31.7568	54.225	50.3048	55.1947	51.42	53.4222	76.5163	49.151
ENSMUSG00000031299.10	104.504	160.877	108.512	172.532	124.611	158.87	112.705	153.481	117.082	181.93	98.7993	168.385	104.29	168.386	111.914	182.904	120.735	154.167	116.594	148.428	116.464	178.594
ENSMUSG00000031303.8	28.9694	38.2047	33.7805	34.1466	40.0389	46.3734	31.7995	31.3847	30.0519	39.8727	27.6727	29.7926	22.2499	30.3487	14.786	29.7008	29.1358	35.0075	25.3157	32.0488	31.4327	37.9089
ENSMUSG00000044150.12	6.91742	15.7657	8.36922	15.5616	6.90326	14.233	9.13551	12.4519	9.74561	12.9596	10.7031	13.8626	5.93364	14.2238	8.53899	10.9478	5.31004	11.6844	4.99982	8.45114	7.59572	14.1047
ENSMUSG00000041020.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031309.15	75.801	77.049	66.3781	78.115	90.5811	98.0255	107.74	71.8019	74.9926	69.7287	89.2705	49.0769	56.2758	80.6582	62.6812	90.5351	81.3305	66.7584	68.4846	74.4694	67.6339	82.5712
ENSMUSG00000025658.16	0.142294	0	0	0	0	0	0	0	0	0	0	0	0	0.151202	0.159617	0	0	0	0	0	0	0
ENSMUSG00000057457.11	0	0.229118	0	0.124061	0	0	0	0.306539	0	0	0	0.966673	0	0	0.537527	0	0	0.115996	0	0.385609	0	0
ENSMUSG00000055109.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025051.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050148.9	29.6011	33.1027	24.0473	31.5748	27.6047	30.5731	27.3534	27.7148	26.1673	31.8972	24.38	31.0653	26.9774	24.1426	20.7241	28.8299	25.6635	30.4109	25.3901	28.2263	31.3567	32.3615
ENSMUSG00000041649.13	3.97307	0.822611	2.56798	0.890838	3.12891	1.25423	3.8929	0.495199	2.27026	1.62492	1.86065	2.33176	2.12338	0.920857	2.5336	0.7953	2.22742	0.999523	1.97092	0.622745	3.36324	1.77755
ENSMUSG00000041658.12	0.753074	0.66399	3.45253	2.87621	1.20377	0.724084	0.71435	0.49971	0.929182	0.941346	0	2.83048	0	0.620279	0.985392	2.91178	0.975088	2.01703	1.00134	1.25846	2.83158	10.2346
ENSMUSG00000071665.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025333.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041096.13	13.7241	20.8988	15.3643	15.5456	15.9334	19.7716	16.5634	15.3117	15.9591	10.6527	16.5847	25.5581	11.2835	15.8351	24.0622	16.7711	19.5826	13.6784	15.2402	13.6108	19.0109	21.0894
ENSMUSG00000041133.11	100.098	104.057	85.1584	113.296	87.6713	99.8209	89.4121	103.268	95.3748	94.5582	112.37	115.006	96.1403	108.319	102.366	82.7324	85.8488	90.4256	86.9956	102.841	94.7427	114.72
ENSMUSG00000025257.5	1.16716	2.05971	0.48317	0.557621	0.934481	0	0	1.55035	0	0	0	0	0	0.481767	0.506997	2.49215	1.50615	1.04285	0.514485	1.95494	0.598432	0
ENSMUSG00000025260.10	87.5807	73.9461	77.5282	43.762	81.2973	45.1952	83.3292	44.0224	73.1442	55.352	85.916	63.2386	91.1737	43.5673	110.886	52.4966	103.884	65.3058	104.815	62.207	65.9043	51.1497
